customer_id,customer_name,email,phone_number,city,state,country,signup_date,customer_segment,loyalty_status,customer_status
C1019,Laurie Johnson,amack@example.com,321-637-9084,Whitneyborough,Idaho,Australia,2024-04-15,Premium,Bronze,Active
C1020,Jonathan Griffith,stephaniereynolds@example.org,+1-434-750-5441x9370,Lake Jameston,Wisconsin,India,2021-08-21,Retail,Gold,Inactive
C1021,Mark Miller,javierwalton@example.com,(987)269-4088x92348,Clarktown,Texas,USA,2025-07-21,Premium,Gold,Inactive
C1022,Geoffrey Thompson,emily18@example.org,001-307-423-0169x04853,North Kelsey,Maryland,Australia,2022-12-22,Retail,None,Active
C1023,Mark Ward,aguirreelizabeth@example.com,3798698738,Lake Maryland,Nevada,USA,2023-07-21,Corporate,Bronze,Inactive
C1024,Angela Johnson,brianross@example.net,(326)395-8150x210,New Lauren,New Hampshire,India,2024-01-26,Corporate,Gold,Inactive
C1025,Kyle English,dana36@example.com,+1-576-373-1246x41223,South Davidburgh,Wisconsin,USA,2023-07-17,Corporate,Gold,Active
C1026,Courtney Poole,mcdanielandrew@example.com,6573488214,South Leeburgh,Minnesota,USA,2025-08-08,Premium,Gold,Active
C1027,David Walls,cgonzalez@example.org,7719717243,North Timothyburgh,Wisconsin,India,2021-06-25,Retail,Bronze,Active
C1028,Barry Poole,karen55@example.com,2414803593,Maryberg,Georgia,India,2021-12-10,Retail,Bronze,Inactive
C1029,Debra Miller,jamesmaldonado@example.com,798.744.7671x13336,Mcmahonview,Kansas,India,2022-08-01,Retail,Silver,Active
C1030,Benjamin Rogers,edwinrichardson@example.com,5434128890,Leeville,North Carolina,Australia,2023-09-21,Corporate,Silver,Active
C1031,Brian Sanders,fparker@example.net,001-545-672-1354x716,Donnahaven,Washington,India,2024-09-13,Corporate,None,Active
C1032,Samuel Thompson,amanda80@example.com,471-466-4835,Mcdonaldburgh,Kansas,Australia,2021-12-15,Premium,Silver,Inactive
C1033,Jessica Dominguez,xcook@example.com,516-795-0436x95211,Wheelerland,Kentucky,India,2023-06-07,Premium,Bronze,Active
C1034,Michael White,brownamber@example.com,(753)978-2278x3304,Hannahfort,Massachusetts,Australia,2022-04-20,Premium,Bronze,Inactive
C1035,Steven Wilson,richardsonstacy@example.com,(751)340-3409x225,Fergusonmouth,Minnesota,Australia,2023-05-12,Corporate,Silver,Active
C1036,Richard Brown,campbelldebra@example.org,001-476-570-7660x7572,Amandashire,Delaware,India,2023-02-19,Retail,Gold,Active
C1037,Alison Riley,bsmith@example.org,001-839-436-5914x797,Williamsfort,Wyoming,USA,2025-09-02,Corporate,Bronze,Inactive
C1038,David Patterson,ashley33@example.org,(917)302-6177x1952,North Rogerbury,Vermont,India,2022-06-16,Retail,Gold,Active
C1039,Kathleen Lopez,donna74@example.org,+1-821-547-8935x430,North Shannon,Nevada,Australia,2022-02-14,Retail,Silver,Active
C1040,Catherine Moody,elijahmartinez@example.com,707-309-1082,Petersonchester,New York,USA,2024-10-13,Corporate,Bronze,Active
C1041,Kayla Thomas,richardsmith@example.org,772-362-9215,North Brandon,Illinois,India,2026-01-11,Retail,Bronze,Active
C1042,Michael Snow,kaguilar@example.net,450-806-8577,Lake Amber,Florida,Australia,2021-07-29,Retail,Silver,Active
C1043,Charles Duncan,chapmandebbie@example.net,498-954-1463x6540,Lake Christianton,Connecticut,India,2021-07-04,Premium,None,Inactive
C1044,Miguel Richmond,thoward@example.com,826-504-6192,New Aprilmouth,Idaho,USA,2026-03-22,Premium,Silver,Inactive
C1045,Andrea Phelps,kennethbennett@example.com,611-417-8888x218,Rivashaven,Colorado,Australia,2023-09-09,Corporate,Gold,Inactive
C1046,Lucas Kim,stacy54@example.com,996-318-5191x09519,Longview,California,USA,2023-09-11,Retail,Gold,Active
C1047,Christopher Acosta,zbond@example.org,705-564-8995,North Georgemouth,Missouri,USA,2026-02-28,Corporate,Gold,Active
C1048,Tyler Ramos,tayloryoung@example.org,830.950.1456x9834,Chrisstad,Indiana,USA,2025-01-19,Retail,Bronze,Inactive
C1049,Natalie Williamson,stephen52@example.net,(551)877-6852x44995,Markchester,North Carolina,Australia,2024-06-29,Retail,Silver,Active
C1050,Allison Jimenez,dominguezjenny@example.org,616-578-0413x1784,Lake Crystalview,Minnesota,USA,2024-01-07,Retail,Silver,Inactive
C1051,Michael Johnson,douglashayden@example.com,371.463.3795x355,Gatesberg,West Virginia,USA,2025-01-02,Retail,Bronze,Inactive
C1052,Andrea Rodriguez DVM,lthompson@example.org,435.203.5291x7265,Hernandezstad,Ohio,Australia,2021-10-09,Corporate,Silver,Active
C1053,Denise Hodge,aaron70@example.net,932-542-2879x6361,Jonathanmouth,Minnesota,USA,2024-05-17,Corporate,Gold,Inactive
C1054,Daniel Torres,christinajimenez@example.org,692.292.9685,East Calvinton,Kansas,USA,2025-02-15,Retail,Bronze,Inactive
C1055,Curtis Castaneda,emcintyre@example.com,279-574-0411x093,West Donna,Alaska,India,2024-12-03,Premium,None,Inactive
C1056,Tamara Hall,iburgess@example.com,6799057317,Johnfurt,Massachusetts,India,2021-08-26,Retail,Silver,Inactive
C1057,Brittany Marshall,traci51@example.net,4113618408,Port Miguel,Colorado,India,2023-11-02,Premium,Bronze,Active
C1058,Jonathan Powell,mary31@example.org,(841)401-4747,New Mitchellmouth,California,USA,2024-11-17,Corporate,Bronze,Active
C1059,Christina Peterson,bnicholson@example.com,(396)776-1725,West Dawn,Mississippi,Australia,2025-02-28,Premium,None,Inactive
C1060,Laura Hull,anna86@example.com,216-944-9313,Johnsonstad,Washington,Australia,2023-04-10,Corporate,Gold,Active
C1061,Sean Johnson,leecameron@example.org,+1-628-210-3136x31312,Parkerfurt,California,Australia,2022-01-09,Retail,Silver,Inactive
C1062,Tiffany Bennett,warrenalicia@example.net,983-267-6346,Sandraview,Arkansas,USA,2021-09-08,Retail,Silver,Active
C1063,Gregory Mack,bshaw@example.org,399.257.3566x5164,Port Hannahberg,Arizona,Australia,2025-06-20,Corporate,Silver,Inactive
C1064,Jonathan Reese,qklein@example.org,7904373273,Amandaton,Texas,USA,2025-06-19,Premium,Bronze,Inactive
C1065,Amber Steele,castrochristina@example.net,265-431-4044x5313,South Laura,South Carolina,India,2022-04-03,Corporate,Bronze,Inactive
C1066,Ronald Jackson,pamelaking@example.org,+1-289-645-1658x6648,South Stephanieborough,Hawaii,USA,2023-11-25,Retail,Gold,Active
C1067,Brian Patel,nhunter@example.org,935-471-1760,New Alexisport,Maryland,India,2024-01-22,Corporate,Gold,Inactive
C1068,Kimberly Rios,johnsontimothy@example.org,001-882-474-2260x3382,Lynchview,Wyoming,Australia,2023-02-01,Retail,Bronze,Active
C1069,Melissa Meyers,pdixon@example.net,(858)943-8918,Lunaview,Delaware,India,2023-07-24,Premium,Silver,Inactive
C1070,Troy Wilson,teresafisher@example.net,(747)836-2049x634,Elizabethchester,West Virginia,USA,2024-10-13,Retail,Silver,Active
C1071,Kevin Vaughn,sierragonzalez@example.com,+1-448-509-3045,Port Allisonbury,Minnesota,USA,2022-03-19,Retail,Gold,Inactive
C1072,Sean Howe,crogers@example.com,2725413563,North Nicole,Missouri,India,2024-12-05,Corporate,None,Active
C1073,Mark Cherry,myersjoseph@example.com,001-921-974-2122,South Sarah,Montana,Australia,2023-02-24,Corporate,None,Inactive
C1074,Connor Brown,beth19@example.com,385.651.1628,Monicaberg,New Jersey,USA,2025-03-06,Retail,None,Active
C1075,Amber Rodriguez,amyhamilton@example.org,(618)215-1536x2600,New Jenniferview,Minnesota,USA,2023-12-17,Corporate,None,Active
C1076,Stephen Thomas,martinjulia@example.com,+1-871-317-7183x643,Kevinberg,Rhode Island,USA,2024-06-28,Corporate,Bronze,Inactive
C1077,Jennifer Serrano,ortegalaura@example.net,496.895.1674x5166,North Travisview,Wisconsin,USA,2026-02-02,Premium,None,Active
C1078,Tammy Rivas,vancejames@example.net,516.985.5075x284,Kevinchester,Missouri,USA,2025-05-21,Retail,Gold,Active
C1079,Cindy Porter,rwalker@example.com,(469)927-7690,Hornshire,Virginia,India,2024-06-12,Retail,Bronze,Inactive
C1080,Kara Browning,blakepayne@example.org,448.421.2340x6422,Michaelmouth,Louisiana,Australia,2025-01-20,Premium,Silver,Inactive
C1081,Dwayne Morales,eric11@example.net,(860)701-6130x5953,Lorimouth,Tennessee,India,2022-05-23,Corporate,Silver,Inactive
C1082,Michael Leonard,adamssara@example.org,915-259-2420x13016,East Charlesburgh,Kentucky,Australia,2021-06-18,Corporate,None,Active
C1083,Crystal Mays,curtisrebecca@example.org,(303)920-5940x7092,Deannafort,West Virginia,Australia,2025-11-06,Corporate,Bronze,Inactive
C1084,Mercedes Mason,stanleynatalie@example.org,507-300-4652,Lake Johnton,Rhode Island,Australia,2024-09-08,Retail,Gold,Active
C1085,Angelica Chapman,brandonhoward@example.org,5659406352,East Jason,West Virginia,Australia,2026-01-24,Retail,Bronze,Active
C1086,Michael Smith,danielsmason@example.org,(845)270-4249,Lake Peter,Alaska,Australia,2021-12-15,Retail,Gold,Inactive
C1087,Ricky Meyer,rross@example.org,487.851.8167,Harrisland,North Carolina,India,2025-01-23,Premium,None,Inactive
C1088,Michelle Rogers,danielbecker@example.net,+1-635-213-0629x65094,New Jessicastad,New Hampshire,India,2025-08-27,Corporate,None,Inactive
C1089,Christine Mccoy,vjones@example.org,3909354282,East Lori,West Virginia,USA,2023-09-18,Corporate,Gold,Active
C1090,Wendy Walter,nicholas32@example.org,001-388-480-5180x80367,North Cynthiaport,Pennsylvania,India,2022-12-13,Premium,Bronze,Inactive
C1091,Jeffrey Jones,scottstephen@example.net,959.520.3057,New Adam,Colorado,India,2024-08-29,Retail,Silver,Active
C1092,Jennifer Ruiz,jbradley@example.com,739-406-2134x5434,Carolynburgh,Idaho,India,2023-12-10,Retail,Silver,Active
C1093,Melissa Mcmahon,patrickwhite@example.com,001-490-257-0148x67072,Lake Davidburgh,South Carolina,India,2024-11-25,Premium,Silver,Active
C1094,Laurie Pierce,caitlinrangel@example.org,674-529-6034,Javierfort,Connecticut,USA,2024-07-21,Retail,Gold,Active
C1095,Gavin Wise,sarahmunoz@example.org,001-675-733-1119x76247,North Edgarville,Wyoming,India,2022-02-17,Corporate,Bronze,Inactive
C1096,Heather Dickerson,elloyd@example.net,+1-351-538-6280,Amytown,Georgia,Australia,2024-06-14,Corporate,Silver,Active
C1097,John Rogers,erodriguez@example.org,551-230-2157,Erinton,Alabama,India,2024-02-01,Premium,Bronze,Active
C1098,Mark Richards,ijames@example.org,646-878-1917x765,Lake Brandonberg,Missouri,India,2025-10-17,Premium,Silver,Inactive
C1099,Louis Williams,tonyabush@example.net,(527)637-8939x72912,West Matthew,Washington,India,2024-01-14,Retail,None,Active
C1100,Jennifer Rose,yjones@example.com,(469)910-8399x669,North Richard,Alabama,USA,2024-08-08,Retail,None,Active
C1101,Edwin Walker,louis78@example.com,(870)934-6933x47033,Kimberlyton,Louisiana,Australia,2024-08-28,Retail,None,Active
C1102,Anthony Clark,denisecrosby@example.net,828.301.6139x874,East Evan,Kansas,USA,2022-04-16,Premium,Bronze,Inactive
C1103,Deborah Lopez,fpratt@example.com,001-499-548-8366x56057,Samanthaville,Rhode Island,USA,2022-11-10,Premium,Silver,Inactive
C1104,Michelle Gonzales,jeffrey36@example.com,(505)768-2510x062,West Donaldborough,Nebraska,India,2021-09-05,Premium,Bronze,Inactive
C1105,Robin Castillo,brooksadriana@example.org,233.271.3284,North Heidifort,Ohio,USA,2024-10-18,Premium,Silver,Active
C1106,Christina Molina,melendezeric@example.net,001-493-984-7661x12284,Matthewberg,Vermont,India,2025-10-21,Corporate,Gold,Inactive
C1107,Danielle Richard,evelynharris@example.net,294.795.4862x5388,Bruceburgh,North Dakota,Australia,2025-09-15,Retail,Silver,Active
C1108,Briana Vasquez,fbrown@example.org,857-780-4573,Jimenezhaven,Louisiana,Australia,2022-05-03,Corporate,Silver,Inactive
C1109,Anthony Castillo,emilyshaw@example.com,001-463-406-7589x41403,South Davidfort,South Dakota,USA,2023-01-08,Premium,Silver,Inactive
C1110,Samantha King,vbarrett@example.org,001-402-715-6689,Floresshire,Alabama,USA,2025-09-11,Premium,Silver,Inactive
C1111,Garrett Atkinson,dbecker@example.com,(551)639-8652x581,Briannaton,Louisiana,USA,2025-02-03,Corporate,Gold,Inactive
C1112,Heather Lambert,ybuchanan@example.net,(935)325-8159x23285,Port Connie,Nevada,Australia,2025-05-16,Premium,Gold,Inactive
C1113,Andrew Gibson,qmitchell@example.com,(957)969-6858,New Jamesside,Ohio,USA,2025-01-22,Retail,Gold,Inactive
C1114,Patricia Taylor,susantrevino@example.org,770-949-3411,Aguilarborough,Nebraska,Australia,2024-10-01,Retail,Bronze,Active
C1115,Kathleen Green,bernardhenderson@example.org,964.692.1127x2543,New Andrealand,Missouri,Australia,2025-03-29,Premium,Bronze,Active
C1116,Patrick Bates,taylorberry@example.org,310.856.6504,Jamestown,Louisiana,Australia,2021-08-03,Premium,Silver,Inactive
C1117,Robert Robinson,tjohnson@example.net,437-985-0459x726,New Jeffrey,Hawaii,USA,2023-07-12,Premium,Bronze,Active
C1118,Michael Morrison,kellysandy@example.net,792.899.5616x222,Kirkshire,Alabama,India,2025-08-28,Corporate,None,Active
C1119,Jane Phillips,robinsonjoshua@example.org,7482396973,Barnesborough,Connecticut,India,2023-09-25,Premium,None,Active
C1120,Timothy Mathews,sarahperez@example.net,7579573449,Williamsview,New York,India,2021-06-16,Retail,Silver,Inactive
C1121,Douglas Ballard,laurenrobinson@example.com,+1-242-447-5939x13949,Smithfurt,Massachusetts,USA,2025-04-15,Corporate,Bronze,Active
C1122,Jeremiah Powers,barbaradelgado@example.com,681.943.4083x960,Sheenatown,Arkansas,Australia,2022-01-24,Corporate,Silver,Active
C1123,Dakota Perez,erikadelgado@example.com,5779024929,Patrickbury,North Carolina,India,2022-08-25,Corporate,Silver,Active
C1124,Thomas Bradley,millerolivia@example.net,884.398.0219x696,East Johnshire,Utah,Australia,2024-12-13,Premium,Bronze,Active
C1125,Aaron Bowman,browndonna@example.com,370-518-4759x24899,New Nancy,Vermont,USA,2023-09-20,Corporate,Bronze,Inactive
C1126,Michael Walker,brookerichards@example.org,(611)442-8538x97339,New Bryceport,Florida,Australia,2024-12-30,Premium,None,Active
C1127,Mrs. Anne Murphy,robertgardner@example.org,(448)908-4025x203,West Brian,Illinois,India,2022-06-12,Retail,Bronze,Active
C1128,Tracey Reid,xmendoza@example.com,001-511-303-0211x478,Port Richard,Hawaii,India,2023-04-12,Corporate,Gold,Active
C1129,Kyle Mccall,veronicaryan@example.org,8779075701,New Jonathan,South Carolina,Australia,2024-02-20,Corporate,Gold,Inactive
C1130,Daniel Johnson,kiara01@example.com,+1-266-781-0710,Patriciaberg,Oregon,India,2026-01-17,Premium,Gold,Active
C1131,Michael Bowers,angelacarson@example.net,+1-646-297-1385x254,East Johnnytown,Wyoming,USA,2024-03-13,Corporate,Silver,Active
C1132,Teresa Parks,savannah31@example.org,6475273270,Lake Jenniferbury,New Mexico,USA,2021-10-07,Retail,Bronze,Active
C1133,Colleen Smith,angela47@example.com,537.793.6099,Delgadofurt,Arkansas,Australia,2026-02-04,Corporate,Bronze,Inactive
C1134,Regina Carr,pfrazier@example.com,001-317-481-5629x3678,Smithhaven,Hawaii,USA,2022-01-24,Corporate,Bronze,Active
C1135,Rachel Parks,bernard02@example.org,(283)796-8582x55794,New Sharonberg,Virginia,USA,2022-08-20,Premium,Gold,Active
C1136,David Murphy,tstanton@example.com,001-501-583-8007,Port Douglasburgh,South Dakota,India,2022-05-24,Premium,Silver,Active
C1137,David Frazier,zreed@example.net,414.495.7469,Valenciaborough,Maryland,Australia,2026-01-06,Corporate,None,Inactive
C1138,Edward Hawkins,stacytaylor@example.net,(427)863-5119x837,New Catherine,Idaho,USA,2022-11-12,Premium,None,Active
C1139,Thomas Butler,irobertson@example.com,331-713-7417,New Tanner,Maryland,India,2021-05-30,Premium,Silver,Inactive
C1140,Michelle Hernandez,dsullivan@example.com,6968600012,South Benjamin,Utah,USA,2023-06-16,Corporate,Gold,Inactive
C1141,Christine Freeman MD,jkirk@example.net,430-635-1832x32201,South Nancy,South Dakota,Australia,2021-12-31,Retail,Silver,Inactive
C1142,Sean Long,snguyen@example.org,001-516-724-6960,West Kenneth,Arkansas,India,2022-04-11,Retail,Silver,Inactive
C1143,Anthony Reyes,andersonstephanie@example.org,344-911-2812x683,Johnchester,South Dakota,Australia,2025-08-06,Corporate,None,Inactive
C1144,Kristen Phillips,hodgecolleen@example.net,(493)809-4541,Diazhaven,Tennessee,Australia,2021-05-17,Retail,Gold,Active
C1145,Katie Hall,luislarson@example.com,290.855.6582,Sullivanfort,New York,India,2023-08-27,Premium,Silver,Active
C1146,Kaylee Spencer,joshua32@example.org,337-416-7535,Howellchester,Washington,Australia,2025-08-25,Retail,Silver,Inactive
C1147,Kathryn Villa,candice23@example.org,+1-462-510-4209x28465,Karenmouth,Minnesota,Australia,2023-08-25,Retail,Silver,Active
C1148,Robert Daniels,lhansen@example.org,001-491-512-6188x9187,Lake Brianside,New Hampshire,India,2025-03-12,Retail,Gold,Inactive
C1149,Robert Perez,collinsmichael@example.com,879-439-6765,Haynesshire,Alaska,Australia,2025-04-05,Premium,None,Active
C1150,Marissa Smith,anthonyblackwell@example.org,2942201731,Navarrohaven,Florida,India,2024-12-27,Retail,Gold,Inactive
C1151,Alison Sanchez,michaelwilliams@example.net,989.211.4327,North Juliaburgh,Nebraska,Australia,2025-12-14,Retail,Bronze,Inactive
C1152,Teresa Sanchez,kevin94@example.com,001-698-594-4088x149,South Thomas,Pennsylvania,USA,2025-01-21,Corporate,Bronze,Active
C1153,Jennifer Whitney,wadams@example.com,455.707.8080,Erikaberg,New Mexico,USA,2022-06-12,Premium,Gold,Inactive
C1154,Joseph Elliott,zbush@example.com,(840)722-6131x0434,Marymouth,Illinois,USA,2022-07-10,Corporate,Silver,Active
C1155,Jennifer Olson,kenneth68@example.net,001-578-355-5502,Morenotown,Minnesota,USA,2024-04-04,Corporate,Bronze,Inactive
C1156,Patricia Ramirez,malikrios@example.com,001-400-646-7863,Bryanmouth,West Virginia,Australia,2022-02-25,Retail,Gold,Active
C1157,Peter Deleon,aaron78@example.net,270.929.2548x433,Port William,Arkansas,USA,2023-01-07,Corporate,Bronze,Inactive
C1158,Leah Griffin,matthewmullins@example.net,659-267-9670x0181,South Victormouth,Delaware,Australia,2025-11-29,Premium,None,Active
C1159,Candace Newman,porteraustin@example.org,528-712-3687,North Edgar,Utah,Australia,2023-12-29,Premium,Silver,Inactive
C1160,Courtney Lewis,ireyes@example.org,+1-487-543-4145,Howardbury,Alabama,India,2022-07-12,Retail,Gold,Active
C1161,Brooke Barry,rebeccanguyen@example.net,+1-736-590-7226,Keithside,New Hampshire,Australia,2024-09-29,Corporate,Silver,Inactive
C1162,Mitchell Heath,drewmalone@example.org,001-253-268-1330x661,West Taylor,Montana,Australia,2024-06-07,Premium,Silver,Active
C1163,Craig Watts,nthompson@example.net,+1-622-988-8857x4530,Adkinsshire,Hawaii,India,2022-08-12,Premium,Silver,Active
C1164,Amber Potter,roy62@example.com,001-835-909-1553,South Robert,Illinois,Australia,2021-08-10,Premium,None,Inactive
C1165,Nichole Stone,kenneth95@example.org,511.677.7714x1363,Wilsonton,Wyoming,USA,2024-05-14,Corporate,Silver,Active
C1166,Michael Chambers,dan81@example.com,001-493-209-2814x4889,New Kelly,Michigan,India,2022-01-06,Retail,Silver,Inactive
C1167,Heather Phillips,rickywelch@example.org,001-605-801-5531x96457,Boothberg,New Mexico,Australia,2025-01-10,Retail,Bronze,Active
C1168,Rhonda Rogers,ctaylor@example.com,223.676.1822,Port Ericmouth,Virginia,USA,2023-02-11,Corporate,Bronze,Active
C1169,Adam Scott,abates@example.org,+1-369-625-9158x50888,Gibsonport,Washington,India,2023-09-16,Premium,None,Inactive
C1170,Ricky Parker,adrianwalker@example.org,+1-920-700-6248x755,West Meredith,Pennsylvania,USA,2021-08-13,Retail,Silver,Active
C1171,Jennifer Franklin,emily17@example.com,280.400.8750,Schultzmouth,Missouri,Australia,2025-10-22,Corporate,Silver,Inactive
C1172,Elizabeth Rivas,pbush@example.org,270-576-3867,Lake Kaylaview,Vermont,Australia,2024-08-10,Retail,Gold,Active
C1173,Amber Ward,joearroyo@example.org,782.933.8635x8283,Port Kellyborough,New York,Australia,2021-07-14,Retail,None,Active
C1174,Wendy Martinez,joseph04@example.com,390.962.4850x835,Port Catherinemouth,Iowa,India,2023-06-01,Corporate,Bronze,Active
C1175,Dr. Samuel Ellis,lopezrachel@example.com,506.543.1192x02757,Hugheston,New Jersey,India,2025-05-02,Retail,Silver,Active
C1176,Arthur Vega,daniel14@example.net,+1-501-926-0095x48374,Jameschester,Tennessee,India,2021-11-21,Premium,Gold,Active
C1177,Brian Reynolds,pattonryan@example.net,+1-775-903-7278,Michaelmouth,Arizona,India,2023-08-06,Corporate,Silver,Inactive
C1178,Jennifer Chen,icarlson@example.org,908.458.5109x205,Port Timothy,New York,USA,2022-10-31,Premium,Bronze,Active
C1179,Maria Thomas,ulewis@example.com,3165872632,Lake Lisa,Kansas,Australia,2023-09-03,Retail,Bronze,Inactive
C1180,Erin Arnold,larrypham@example.com,(247)695-0140x348,New Tyrone,Oklahoma,Australia,2025-01-11,Corporate,None,Inactive
C1181,Cassie Rivera,stonejoe@example.com,4692587943,Cassandraborough,North Carolina,India,2023-08-22,Retail,Silver,Active
C1182,Kristin Wood,pprince@example.org,505-672-2295x2950,Lake Kylefort,New Jersey,USA,2025-06-02,Corporate,None,Inactive
C1183,James Gibbs,jamesheather@example.com,477-978-9733x94356,North Thomas,Tennessee,India,2025-11-20,Retail,Silver,Active
C1184,Lisa Jenkins,alexander86@example.org,(945)424-6464x40612,North Ronald,Pennsylvania,Australia,2022-11-23,Corporate,Silver,Active
C1185,Kyle Hill,ccantu@example.org,(335)996-6736x3502,Wyattfort,California,Australia,2024-12-04,Premium,None,Inactive
C1186,Amy Wells,jennifer85@example.org,771-796-3226x049,West Amyside,Nebraska,India,2026-03-26,Premium,None,Active
C1187,Sean Anderson,ccohen@example.org,(310)363-5163,Davidstad,Missouri,India,2024-01-13,Retail,Silver,Active
C1188,Gary Henderson,uwilson@example.net,+1-780-213-2913x2513,East Brian,South Carolina,India,2023-09-16,Corporate,Bronze,Inactive
C1189,William Anderson,shieldspamela@example.com,001-519-345-6261x56214,Ericfort,Rhode Island,India,2021-12-24,Premium,Silver,Active
C1190,Antonio Williams,jasongreen@example.net,875.299.8752x917,West Derrick,Missouri,USA,2021-09-05,Premium,Bronze,Inactive
C1191,Jessica Knight,ndouglas@example.net,574-375-0934,Riddleburgh,Iowa,India,2021-05-03,Corporate,Silver,Active
C1192,Teresa Brown,michelle80@example.net,+1-276-814-5459x392,Lake Adam,Texas,Australia,2022-08-02,Premium,Gold,Active
C1193,Karina Burnett,melissa39@example.net,(576)215-6760,Samuelburgh,Mississippi,Australia,2026-03-21,Premium,Bronze,Active
C1194,Shelby Morgan,owalter@example.org,(395)321-9703x140,West Kevinshire,Alabama,USA,2024-02-21,Premium,Gold,Inactive
C1195,Kristina David,scottpaula@example.org,001-545-528-0666x4241,Johnsonchester,Utah,India,2021-09-13,Retail,Bronze,Active
C1196,Amy Hayes,mlopez@example.com,497-723-5172x93177,New Johntown,Missouri,India,2025-10-09,Premium,Bronze,Active
C1197,Krista Yang,nguyenkatherine@example.com,871.365.1344,Steventown,Missouri,Australia,2026-02-17,Premium,None,Active
C1198,Albert Hickman,sheri10@example.com,+1-481-996-8586x53099,Elizabethmouth,Florida,Australia,2022-01-28,Corporate,Bronze,Inactive
C1199,Daniel Davis,zacharybarber@example.com,561.402.3311x1590,Kristishire,Missouri,Australia,2025-04-20,Corporate,None,Active
C1200,Barbara Contreras,bhernandez@example.net,2766174115,North Maria,Kentucky,Australia,2022-05-09,Corporate,Gold,Active
C1201,Christopher Gonzales,zchen@example.net,533-502-1700x796,South Michael,New Mexico,Australia,2025-12-09,Premium,Gold,Active
C1202,Mary Mueller,cjackson@example.org,001-250-802-5410,Perezfurt,Wisconsin,USA,2023-11-03,Corporate,Silver,Active
C1203,Abigail Peterson,mooremichelle@example.com,001-914-939-9388,North Patricia,Minnesota,Australia,2021-06-14,Premium,Gold,Inactive
C1204,Sarah Cabrera,pchristensen@example.com,+1-531-412-5620x714,West William,Illinois,USA,2023-10-08,Retail,None,Active
C1205,Jacob Morales,sgreen@example.com,001-532-852-4886x527,Laurenview,Connecticut,USA,2025-11-19,Retail,Gold,Inactive
C1206,Mark Miller,cainalyssa@example.net,3605839147,Port Nathan,Delaware,USA,2023-07-16,Premium,Bronze,Active
C1207,Wesley Olsen,sanderskelly@example.net,217.783.1272,Richardstad,North Carolina,Australia,2022-04-08,Retail,Bronze,Inactive
C1208,Tyler Jordan,cunninghamgregory@example.net,(389)576-9009x621,Port Taylor,Wisconsin,Australia,2024-01-19,Corporate,None,Active
C1209,Vanessa Kim,alexandra55@example.com,7556086464,North Samantha,Washington,Australia,2021-11-03,Premium,Silver,Inactive
C1210,Chloe Rogers,ricardosanders@example.net,227.963.4890,West Emmaport,Arkansas,USA,2023-06-26,Retail,Silver,Active
C1211,Christopher Jones,rachelkelly@example.com,(874)337-3900,Lake Jennifer,Mississippi,USA,2023-03-07,Retail,Silver,Active
